max_d,max_p,months_since,sizerank,state,city,growth_rate,pop2010,pop2014
"20070901T000000",174800,55,1012,TX,Granbury,12.6431,8036,9052
"20060101T000000",81300,36,1593,TX,Paris,-1.15148,25185,24895
"20071101T000000",317100,57,4775,TX,Fairview,14.4245,7307,8361
"20070301T000000",259300,49,4218,UT,Hurricane,9.03815,13786,15032
"20070101T000000",676900,48,4849,NY,Cedarhurst,1.12155,6598,6672
"20080101T000000",226500,59,666,UT,Taylorsville,2.94704,58703,60433
"20060601T000000",594000,40,1979,NY,Greenburgh,3.22479,88533,91388
"20071101T000000",125400,57,421,TN,Johnson City,3.42264,63635,65813
"20060501T000000",223600,39,1214,WI,Menomonee Falls,0.965479,35630,35974
"20071101T000000",137200,57,99,TX,Irving,7.16572,216866,232406
"20060801T000000",853900,42,1895,NY,Garden City,1.02292,22387,22616
"20070701T000000",210800,53,4347,NY,Deerpark,-1.56704,7913,7789
"20060901T000000",1.0947e+06,43,1131,NY,Great Neck,1.26101,9992,10118
"20060201T000000",106000,37,1479,OH,Garfield Heights,-1.98264,28800,28229
"20060601T000000",61100,40,2035,OH,East Liverpool,-2.293,11208,10951
"20061201T000000",134400,46,4668,TX,Glenn Heights,4.96873,11351,11915
"20060101T000000",177200,36,4401,OH,Mantua,-0.414422,4826,4806
"20071201T000000",114600,58,2459,TN,Portland,5.93948,11533,12218
"20081101T000000",67200,70,4095,TX,Commerce,6.30486,8089,8599
"20070601T000000",123300,52,3969,TX,Crowley,12.6991,12930,14572
"20040201T000000",124100,13,1265,OH,Fairborn,1.12874,32957,33329
"20080701T000000",176700,65,1848,MS,Ridgeland,0.593903,24078,24221
"20051101T000000",176100,34,1431,WI,Franklin,3.06748,652,672
"20060401T000000",94900,38,3757,OH,Willard,-2.16728,6229,6094
"20080501T000000",236800,63,765,UT,Layton,6.92968,67550,72231
"20071101T000000",107000,57,3333,TX,Graham,-0.382108,8898,8864
"20050501T000000",663000,27,4685,NY,Pleasantville,1.96693,7016,7154
"20070801T000000",240100,54,4047,NY,Ballston,6.34321,9790,10411
"20060601T000000",813900,40,4727,NY,Pelham,1.58743,12410,12607
"20080501T000000",290500,63,3572,UT,West Haven,11.2477,10411,11582
"20080501T000000",320400,63,2538,CO,Louisville,9.1205,18431,20112
"20061101T000000",122100,45,2111,IN,Columbia City,0.626852,8774,8829
"20080201T000000",199700,61,576,WY,Casper,8.69785,55278,60086
"20050601T000000",323800,28,2980,MA,Uxbridge,2.36168,13465,13783
"20030701T000000",76500,5,3401,MI,Highland Park,-11.1273,11674,10375
"20090601T000000",154500,76,744,ND,Grand Forks,5.83782,52965,56057
