max_d,max_p,months_since,sizerank,state
"20060601T000000",341500,40,3310,NJ
"20061001T000000",745600,44,3311,NY
,nan,nan,3312,LA
"20050801T000000",182800,30,3313,MI
"20061001T000000",194100,44,3314,CA
"20040801T000000",159700,18,3315,MI
"20070501T000000",557100,51,3316,NJ
"20060501T000000",609500,39,3317,NJ
"20080901T000000",130700,68,3318,OH
"20050901T000000",410700,32,3319,MA
"20080701T000000",148900,65,3320,IN
"20060401T000000",405500,38,3321,NY
"20051201T000000",797400,34,3322,FL
"20060501T000000",346100,39,3323,PA
"20060801T000000",248500,42,3324,MN
"20060901T000000",396300,43,3325,FL
"20070801T000000",214000,54,3326,CA
"20051101T000000",178800,34,3327,MA
"20071101T000000",185800,57,3328,WI
"20050601T000000",251700,28,3329,MN
"20060701T000000",459800,41,3330,CA
"20090701T000000",125500,77,3331,NM
"20060101T000000",287300,36,3332,OR
"20071101T000000",107000,57,3333,TX
"20070401T000000",803700,50,3334,NY
"20070501T000000",255600,51,3335,WA
,nan,nan,3336,FL
"20070801T000000",84300,54,3337,NY
"20060801T000000",191800,42,3338,GA
"20060501T000000",429000,39,3339,NY
"20080201T000000",166800,61,3340,GA
"20051201T000000",392100,34,3341,MA
"20070601T000000",186200,52,3342,NJ
"20071201T000000",216700,58,3343,NY
"20070401T000000",137800,50,3344,SC
,nan,nan,3345,GA
"20050901T000000",345500,32,3346,MA
,nan,nan,3347,NH
"20070501T000000",1.3146e+06,51,3348,IL
"20080901T000000",221900,68,3349,PA
"20080101T000000",199200,59,3350,CO
"20061101T000000",221000,45,3351,CA
"20060401T000000",336900,38,3352,NY
"20070801T000000",1.7629e+06,54,3353,AZ
"20070801T000000",248400,54,3354,NY
"20060501T000000",570400,39,3355,FL
,nan,nan,3356,MD
"20070301T000000",246400,49,3357,WA
"20060401T000000",543600,38,3358,CA
"20060601T000000",371500,40,3359,CA
,nan,nan,3360,IN
"20090501T000000",120800,75,3361,SC
"20080401T000000",192400,62,3362,PA
"20031101T000000",369400,9,3363,MI
"20060501T000000",124100,39,3364,WI
"20060501T000000",402100,39,3365,CA
"20080101T000000",158700,59,3366,WI
"20060601T000000",281100,40,3367,FL
"20060501T000000",372900,39,3368,PA
"20060801T000000",354800,42,3369,PA
"20070301T000000",352400,49,3370,IL
"20080201T000000",77100,61,3371,PA
"20080301T000000",216300,61,3372,NY
"20060801T000000",210900,42,3373,CT
"20051201T000000",155500,34,3374,MI
"20070301T000000",555900,49,3375,IL
"20060501T000000",219700,39,3376,MN
"20050901T000000",1.2486e+06,32,3377,MA
"20071001T000000",138100,56,3378,NJ
"20071201T000000",148100,58,3379,OR
"20080101T000000",226700,59,3380,CA
"20070801T000000",252400,54,3381,TN
"20060101T000000",599300,36,3382,NJ
"20070401T000000",250400,50,3383,CT
"20070201T000000",238100,49,3384,IL
"20060501T000000",367300,39,3385,CO
"20071001T000000",165300,56,3386,PA
"20060601T000000",507800,40,3387,NJ
"20070601T000000",128600,52,3388,TN
"20060401T000000",128300,38,3389,AL
"20060801T000000",303800,42,3390,PA
"20061001T000000",135100,44,3391,GA
"20060701T000000",549900,41,3392,NY
"20070501T000000",371800,51,3393,CA
"20070901T000000",324100,55,3394,CA
"20071001T000000",92800,56,3395,NY
"20070501T000000",362800,51,3396,MD
"20031101T000000",279500,9,3397,WI
"20060601T000000",454500,40,3398,NY
"20060401T000000",240200,38,3399,OH
"20060501T000000",252300,39,3400,WI
"20030701T000000",76500,5,3401,MI
"20051201T000000",682800,34,3402,NY
"20070801T000000",250800,54,3403,GA
"20070701T000000",441800,53,3404,NH
"20061101T000000",239800,45,3405,IL
"20070701T000000",187300,53,3406,NY
"20071201T000000",159200,58,3407,IL
"20070401T000000",458700,50,3408,NJ
"20070601T000000",306000,52,3409,MD
"20090601T000000",138200,76,3410,MS
"20060201T000000",1.0904e+06,37,3411,CA
"20041201T000000",184100,22,3412,CO
"20070401T000000",226200,50,3413,FL
,nan,nan,3414,OH
"20061101T000000",244600,45,3415,NY
"20070701T000000",249200,53,3416,OR
"20060501T000000",88800,39,3417,PA
"20060101T000000",126300,36,3418,IN
"20080501T000000",139000,63,3419,NC
"20060601T000000",285500,40,3420,PA
"20050901T000000",1.4938e+06,32,3421,CA
"20061101T000000",360800,45,3422,MD
"20060801T000000",270000,42,3423,NJ
"20070401T000000",178200,50,3424,IL
"20071001T000000",96800,56,3425,NY
"20070701T000000",258300,53,3426,CT
"20080401T000000",123300,62,3427,GA
,nan,nan,3428,SC
"20070801T000000",185600,54,3429,OR
"20090301T000000",185200,73,3430,PA
"20070501T000000",198900,51,3431,MO
